,,
,,
,,
Products,price,link
Matrix 1S Brushless Flight Controller (5IN1 II),$54.99 ,https://betafpv.com/collections/brushless-flight-controller/products/matrix-1s-5in1-ii-brushless-flight-controller?variant=41894793773190
 Battery Charger Adapter Board 5V,$6.49 ,https://www.aliexpress.com/item/1005008478289127.html?srcSns=sns_Copy&businessType=ProductDetail&spreadType=socialShare&aff_fcid=8815de6fc3a84a5eb6b97e382e8202a5-1785426822110-01205-_mKB5Hg1&tt=CPS_NORMAL&aff_fsk=_mKB5Hg1&aff_platform=shareComponent-detail&sk=_mKB5Hg1&aff_trace_key=8815de6fc3a84a5eb6b97e382e8202a5-1785426822110-01205-_mKB5Hg1&terminal_id=ba727a16d0e54aada49ecc972517b649&afSmartRedirect=y
Turnigy BoltX LiHV 1S 500mAh ,$6.49 ,https://hobbyking.com/en_us/500-1s-bt-2-0-70c-lihv-pack-of-2.html?ref=nzblodc&utm_source=tapfiliate&utm_medium=referral&utm_campaign=nzblodc
RadioMaster T8L Radio Controller ,$37.99 ,https://newbeedrone.com/products/radiomaster-t8l-radio-controller-m2?aff=97
screw black ,$2.03 ,https://www.aliexpress.com/item/1005002364568213.html?srcSns=sns_Copy&businessType=ProductDetail&spreadType=socialShare&aff_fcid=d760ecc1c8b5417288bcf825ee04f416-1785426462163-08676-_mLAiw5X&tt=CPS_NORMAL&aff_fsk=_mLAiw5X&aff_platform=shareComponent-detail&sk=_mLAiw5X&aff_trace_key=d760ecc1c8b5417288bcf825ee04f416-1785426462163-08676-_mLAiw5X&terminal_id=ba727a16d0e54aada49ecc972517b649&afSmartRedirect=y&gatewayAdapt=4itemAdapt
4Pairs Gemfan,$3.90 ,https://www.aliexpress.com/item/1005009806022305.html?srcSns=sns_Copy&businessType=ProductDetail&spreadType=socialShare&aff_fcid=876b073778084e62a3c917ececf377ba-1785426456635-00342-_mNVLxeN&tt=CPS_NORMAL&aff_fsk=_mNVLxeN&aff_platform=shareComponent-detail&sk=_mNVLxeN&aff_trace_key=876b073778084e62a3c917ececf377ba-1785426456635-00342-_mNVLxeN&terminal_id=ba727a16d0e54aada49ecc972517b649&afSmartRedirect=y
High Speed Engine For RC Drone Aircraft ,$22.58 ,https://www.aliexpress.com/item/1005009514249914.html?srcSns=sns_Copy&businessType=ProductDetail&spreadType=socialShare&aff_fcid=b9f04ae9736344eb98a243b781aaf734-1785426455035-09543-_mKPstZj&tt=CPS_NORMAL&aff_fsk=_mKPstZj&aff_platform=shareComponent-detail&sk=_mKPstZj&aff_trace_key=b9f04ae9736344eb98a243b781aaf734-1785426455035-09543-_mKPstZj&terminal_id=ba727a16d0e54aada49ecc972517b649&afSmartRedirect=y&gatewayAdapt=4itemAdapt
total,$134.47 ,
